phonix
v000
v100
v120
v100
v345
v730
v230
v230
v285
v200
v280
v200
v453
v418
v436
v478
v423
v430
v530
v543
v530
v530
v536
v558
v563
v583
v558
v340
v350
v385
v683
v800
v650
v658
v658
v680
v833
v874
v380
v800
v853
v800
v850
v850
v845
v858
v100
v100
v130
v130
v130
v130
v134
v130
v130
v100
v150
v140
v148
v150
v152
v150
v153
v100
v160
v115
v120
v100
v150
v128
v100
v180
v182
v184
v180
v180
v183
v130
v130
v135
v130
v132
v135
v130
v130
v158
v100
v100
v100
v170
v180
v100
v100
v138
v155
v150
v150
v180
v180
v180
v180
v130
v135
v134
v130
v138
v180
v100
v150
v155
v150
v130
v100
v155
v155
v152
v152
v130
v100
v153
v153
v158
v130
v130
v138
v130
v168
v168
v168
v180
v140
v100
v183
v134
v134
v134
v134
v135
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v130
v134
v134
v135
v136
v130
v134
v135
v130
v134
v130
v130
v130
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v134
v136
v136
v136
v136
v138
v100
v100
v100
v110
v128
v130
v130
v135
v136
v100
v140
v120
v124
v130
v100
v140
v140
v140
v143
v143
v140
v143
v148
v145
v145
v140
v140
v145
v140
v143
v146
v140
v140
v145
v145
v145
v140
v148
v148
v140
v150
v155
v153
v153
v153
v153
v150
v150
v150
v158
v100
v160
v168
v126
v135
v162
v120
v124
v165
v140
v155
v153
v153
v153
v153
v160
v180
v184
v185
v130
v138
v180
v185
v130
v100
v130
v130
v174
v174
v143
v152
v123
v130
v130
v130
v160
v124
v140
v143
v148
v148
v150
v153
v152
v152
v140
v182
v131
v130
v138
v180
v170
v126
v120
v140
v145
v145
v140
v148
v140
v143
v145
v140
v148
v143
v145
v145
v142
v145
v150
v150
v153
v150
v100
v120
v134
v147
v145
v143
v150
v158
v158
v130
v130
v150
v130
v130
v130
v147
v148
v153
v183
v100
v138
v145
v160
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v165
v160
v162
v162
v164
v165
v160
v166
v168
v160
v167
v160
