N50000
A00000
A10000
A16200
A10000
A34530
A13000
A26300
A26300
A22500
A26000
A22000
A26000
A45300
A41620
A43652
A41200
A42630
A43000
A53000
A54300
A53000
A53000
A53630
A55250
A56300
A52330
A55250
A63400
A63500
A63250
A62330
A62000
A65000
A65200
A65250
A62000
A62330
A62143
A63200
A20000
A25300
A20000
A25000
A25000
A24530
A25200
A10000
A10000
A13000
A13000
A13000
A13000
A13400
A13600
A13000
A16000
A12500
A14000
A14200
A15000
A15200
A15000
A15300
A16000
A16000
A16154
A16200
A16000
A16500
A16220
A16000
A12000
A12400
A12400
A12000
A12000
A12300
A13000
A13000
A13524
A13000
A13240
A13562
A13000
A13000
A15200
A10000
A10000
A10000
A11000
A12000
A10000
A10000
A13200
A15530
A15000
A16500
A12000
A12000
A12000
A12000
A13000
A13562
A13400
A13000
A13230
A12000
A10000
A15000
A15530
A15000
A13000
A10000
A15530
A15530
A15235
A15200
A13000
A10000
A15353
A15352
A15200
A13000
A13000
A13200
A13000
A16230
A16220
A16200
A12000
A14000
A10000
A12300
A13400
A13400
A13400
A13400
A13500
A13400
A13440
A13422
A13413
A13425
A13430
A13430
A13445
A13453
A13421
A13423
A13423
A13426
A13400
A13431
A13454
A13454
A13452
A13451
A13456
A13423
A13465
A13465
A13424
A13423
A13410
A13000
A13400
A13400
A13500
A13655
A13000
A13400
A13500
A13000
A13400
A13000
A13000
A13000
A13400
A13400
A13400
A13430
A13400
A13422
A13425
A13430
A13425
A13453
A13420
A13421
A13423
A13426
A13426
A13400
A13400
A13400
A13431
A13400
A13454
A13465
A13465
A13465
A13655
A13625
A13650
A13655
A13245
A10000
A10000
A16000
A11000
A12220
A13000
A13000
A13500
A13610
A10000
A14000
A12000
A12450
A13000
A12000
A14000
A14000
A14600
A14630
A14630
A14000
A14300
A14200
A14520
A14500
A14000
A14000
A14500
A14600
A14630
A14600
A14000
A14000
A14550
A14500
A14500
A14000
A14200
A14250
A14000
A15000
A15530
A15300
A15350
A15363
A15325
A15000
A15200
A15260
A15200
A16000
A16000
A16236
A16265
A16350
A16200
A16200
A16240
A16500
A16400
A16550
A16530
A16530
A16530
A16530
