phonetic_fingerprint
a
ap
aprk
ap
atlnt
aft
akrt
akrt
ajsn
akr
aks
akr
alnt
alprs
altrnk
alfs
alkrt
alt
amt
amlt
amt
am0
antrt
annsn
anrt
anstt
annsn
artl
artm
artsm
arstt
ars
arn
arns
arnsn
ars
arstt
arsflt
arts
as
asnt
as
asn
asm
aslnt
asns
ap
ap
apt
apt
apt
apt
aptl
aptr
apt
apr
apjn
apl
apls
apn
apnk
apn
apnt
apr
apr
aprpnl
aprk
apr
aprn
aprks
apr
aps
apskl
apsl
aps
aps
apst
apt
apt
aptnjl
apt
aptkl
aptmrk
apt
apt
apns
ap
ap
ap
apf
aps
ap
ap
apts
apmnt
apn
aprn
aps
aps
aps
aps
apt
aptmrk
aptl
apt
aptst
aps
ap
apn
apnnt
apn
apt
ap
apnnt
apnnt
apnktn
apnk
apt
ap
apntntl
apntns
apns
apt
apt
apts
apt
aprskt
aprss
aprs
aps
apl
ap
apst
aptl
aptl
aptl
aptl
aptn
aptl
aptll
aptlss
aptlft
aptlkn
aptlt
aptlt
aptllm
aptlmt
aptlpr
aptlt
aptlktr
aptlkrm
aptl
aptltf
aptlmlk
aptlmlk
aptlms
aptlnp
aptlnr
aptlktr
aptlrhm
aptlrmn
aptlslm
aptlst
aptlhp
apt
aptl
aptl
aptn
aptrmn
apt
aptlh
aptn
apt
aptl
apt
apt
apt
aptl
aptl
aptl
aptlht
aptlh
aptlss
aptlkn
aptlt
aptlkm
aptlmt
aptlk
aptlpr
aptlktr
aptlkrm
aptlkrm
aptl
aptl
aptlh
aptltf
aptl
aptlmlk
aptlrhm
aptlrhm
aptlrmn
aptrmn
aptrkmnf
aptrhm
aptrmn
aptslm
ap
ap
apr
app
apkss
apt
apt
aptn
aptrp
ap
apl
apk
apkln
apt
apj
apl
apl
aplr
aplrt
aplrt
apl
aplt
apls
aplnk
apln
apl
apl
apln
aplr
aplrt
aplr
apl
apl
aplmn
apln
apln
apl
apls
aplsn
apl
apn
apnnt
apnt
apntn
apntr0
apntxn
apn
apnj
apnjr
apns
apr
apr
aprstr
aprkrmp
aprtn
aprk
aprk
aprjl
aprn
aprl
aprmn
aprn0
aprn0
aprn0
aprn0
apr
aprs
aprslt
aprsn
aprt
aprts
aps
apsms
apt
ap
apt
apx
apfl
apfltr
aplt
apnkr
apkt
apt
apt
apt
apr
apkl
apl
aplt
apls
apls
apn
apntr
apnk
apnktn
apl
apxk
aptpl
apx
apts
aps
apf
apkrn
apk
apl
apln
aplnk
apl
apls
apl
apltnkr
aplmn
aplr
apls
aplt
apln
aplnk
aplk
aplnt
apm
apnr
apnt
apn
ap
apk
aptl
aplf
aplns
aplt
apn
apns
apns
apt
aprt
aprn
apt
apt
apjt
aplf
aplsn
apntr
apst
ap
apts
applnlp
aprh
aprhm
aprhmn
aprhms
aprhmsn
aprhmsn
aprhmn
aprhnt
aprhm
aprms
aprjn
aprm
aprmsk
aprmn
aprm
aprmf
aprmf
aprmf
aprmfx
aprmfts
aprmts
aprmts
aprmsk
aprms
aprmsk
aprmsk
aprmsn
aprmn
aprnts
apr
aprkt
aprk
aprl
aprnk
apr
aprr
aprx
apr
aprf
apr
apr
aprm
aprm
aprk
aprl
aprk
aprl
aprl
aprxm
apr
aprm
aprmts
aprn
aprskt
aprss
aprs
aprsn
aprs
