extract_position_frequency
AA
AAB
AABG
AABY
ADND
AFDT
AAGD
AAGD
AAGN
AAKR
AAKS
AAKR
AAND
AABS
ADNK
AAFS
AAGD
AATO
AMDT
AAMD
AAMT
AMTH
AADD
AANN
AAND
AAND
AANN
AADL
ADMA
ADMA
AATD
AAUS
AAON
AANS
AAON
AARS
AATD
AAVD
AATS
AAS
AAND
AASE
AASN
AASM
AAND
AANS
AB
ABA
ABAD
ABDI
ABDA
ABDE
ABDA
ABDR
ABDY
ABAR
ABJN
ABLO
ABOS
ABAN
ABNG
ABNO
ABTO
ABAR
ABRA
ABBL
ABRA
ABRE
ABNO
ABQZ
ABRR
ABAS
ABAL
ABOO
ABSS
ABSI
ABTA
ABAT
ABTA
ABGO
ABTE
ABTA
ABMO
ABTI
ABTO
ABZA
ABWI
ABAY
ABYA
ABYV
ABZA
ABB
ABBA
ABBD
ABBM
ABBN
ABBO
ABBS
ABBI
ABBS
ABBI
ABBT
ABBO
ABBO
ABBY
ABBT
ABBZ
ABBE
ABBN
ABBT
ABBN
ABBT
ABBY
ABBT
ABBT
ABBN
ABBK
ABBT
ABBO
ABBD
ABBZ
ABBZ
ABBT
ABBT
ABBT
ABBD
ABBO
ABBZ
ABBZ
ABBS
ABBL
ABBY
ABDE
ABDA
ABDI
ABDA
ABDH
ABDN
ABDL
ABDL
ABDZ
ABDH
ABDN
ABDD
BDDY
ABDM
ABDD
ABDJ
ABDD
ABDD
ABDM
ABDA
ABDF
ABDK
ABDK
ABDH
ABDB
ABDR
ABDD
ABDM
ABDN
ABDM
ABDD
ABDB
ABDI
ABDL
ABDL
ABDN
ABDN
ABDO
ABDI
ABDN
ABDO
ABDL
ABDU
ABDW
ABDU
ABDL
ABDA
ABDH
ABDD
ABDI
ABDZ
ABDN
ABDD
ABDM
ABDD
BDQQ
ABDB
ABDD
ABDM
ABDM
ABDA
ABDH
ABDI
ABDF
ABDL
ABDK
ABDM
ABDM
ABDN
ABDN
ABDV
ABDM
ABDN
ABDM
ABE
ABEA
ABAR
ABBE
ABSS
ABED
ABDI
ABDN
ABDB
ABEE
ABEL
ABGG
ABGN
ABTA
ABJA
ABEL
ABLA
ABAR
ABRD
ABDO
ABLE
ABDA
ABLS
ABNG
ABNO
ABLL
ABLA
ABNA
ABAR
ABRD
ABRA
ABLI
ABLO
ABMN
ABLN
ABON
ABOW
ABLS
ABON
ABLY
ABEN
ABNT
ABND
ABDO
ABDT
ABDN
ABNE
ABJA
ABJR
ABNS
ABER
ABRA
ABRI
ABMB
ABDN
ABGG
ABRG
ABGL
ABRN
ABRL
ABMN
ABNY
ABTY
ABNT
ABTY
ABRA
ABRS
ABOD
ABON
ABRT
ABTS
ABES
ABMS
ABTE
ABEY
ABYT
ABYA
ABFL
ABFR
ABOD
ABKR
ABHT
ABID
ABDE
ABDI
ABRA
ABGL
ABLA
ABLD
ABLS
ABLZ
ABNA
ABDR
ABNG
ABGN
ABOA
ABAG
ABBL
ABTA
ABTZ
ABUO
ABVA
ABKN
ABKE
ABLA
ABAN
ABNG
ABAO
ABZA
ABLE
ABDR
ABMN
ABLR
ABLS
ABTT
ABLN
ABNG
ABOG
ABND
ABMA
ABNR
ABNT
ABNY
ABO
ABGY
ABDY
ABFA
