N5000
A0000
A1000
A1670
A1000
A3453
A1300
A7630
A7630
A7950
A7600
A7900
A7600
A4530
A4169
A4365
A4190
A4763
A4300
A5300
A5430
A5300
A5300
A5363
A5595
A5630
A5933
A5595
A6340
A6350
A6395
A6933
A6900
A6500
A6590
A6595
A6900
A6933
A6914
A6390
A9000
A9530
A9000
A9500
A9500
A9453
A9590
A1000
A1000
A1300
A1300
A1300
A1300
A1340
A1360
A1300
A1600
A1750
A1400
A1490
A1500
A1570
A1500
A1530
A1600
A1600
A1615
A1670
A1600
A1650
A1679
A1600
A1900
A1974
A1940
A1900
A1900
A1930
A1300
A1300
A1357
A1300
A1374
A1356
A1300
A1300
A1590
A1000
A1000
A1000
A1100
A1900
A1000
A1000
A1390
A1553
A1500
A1650
A1900
A1900
A1900
A1900
A1300
A1356
A1340
A1300
A1393
A1900
A1000
A1500
A1553
A1500
A1300
A1000
A1553
A1553
A1573
A1570
A1300
A1000
A1535
A1535
A1590
A1300
A1300
A1390
A1300
A1697
A1699
A1690
A1900
A1400
A1000
A1930
A1340
A1340
A1340
A1340
A1350
A1340
A1344
A1349
A1341
A1345
A1343
A1343
A1344
A1345
A1347
A1347
A1347
A1347
A1340
A1343
A1345
A1345
A1345
A1345
A1345
A1347
A1346
A1346
A1349
A1349
A1341
A1300
A1340
A1340
A1350
A1365
A1300
A1340
A1350
A1300
A1340
A1300
A1300
A1300
A1340
A1340
A1340
A1343
A1340
A1349
A1345
A1343
A1347
A1345
A1347
A1347
A1347
A1347
A1347
A1340
A1340
A1340
A1343
A1340
A1345
A1346
A1346
A1346
A1365
A1367
A1365
A1365
A1394
A1000
A1000
A1600
A1100
A1799
A1300
A1300
A1350
A1361
A1000
A1400
A1700
A1745
A1300
A1700
A1400
A1400
A1460
A1463
A1463
A1400
A1430
A1490
A1457
A1450
A1400
A1400
A1450
A1460
A1463
A1460
A1400
A1400
A1455
A1450
A1450
A1400
A1490
A1495
A1400
A1500
A1553
A1530
A1535
A1536
A1539
A1500
A1570
A1576
A1590
A1600
A1600
A1693
A1676
A1635
A1670
A1670
A1674
A1650
A1640
A1655
A1653
A1653
A1653
A1653
A1600
A1690
A1694
A1695
A1600
A1639
A1900
A1959
A1300
A1000
A1300
A1900
A1400
A1436
A1430
A1576
A1930
A1300
A1300
A1300
A1600
A1740
A1400
A1430
A1490
A1490
A1500
A1536
A1570
A1573
A1400
A1970
A1314
A1900
A1390
A1900
A1100
A1765
A1700
A1400
A1450
A1457
A1400
A1490
A1400
A1435
A1455
A1460
A1490
A1430
A1450
A1457
A1470
A1453
A1500
A1560
A1530
A1500
A1000
A1700
A1340
A1410
A1459
A1430
A1500
A1590
A1590
A1300
A1630
A1650
A1300
A1300
A1730
A1410
A1495
A1536
A1930
A1000
A1390
A1454
A1600
A1650
A1655
A1659
A1659
A1659
A1655
A1653
A1650
A1659
A1675
A1650
A1657
A1655
A1650
A1651
A1651
A1651
A1651
A1651
A1659
A1653
A1659
A1659
A1659
A1659
A1659
A1655
A1653
A1600
A1693
A1670
A1640
A1657
A1600
A1660
A1697
A1600
A1610
A1600
A1600
A1650
A1650
A1670
A1640
A1670
A1640
A1640
A1695
A1600
A1650
A1653
A1650
A1697
A1699
A1690
A1695
A1690
A1600
A1945
A1945
A1960
A1960
A1960
A1960
A1960
A1950
A1935
A1935
A1300
A1300
A1390
A1000
A1400
A1500
A1176
A1176
A1300
A1700
A1400
A1400
A1550
A1940
A1530
A1760
A1459
A1539
A1539
A1539
A1539
A1530
A1630
A1951
A1300
A1350
A1930
A1000
A7000
A7900
A7350
A7500
A7516
A7516
A7600
A7900
A7500
A7630
A7630
A7300
A7360
A7360
A7500
A7630
A7600
A7130
A7500
A7900
A7400
A7553
A7630
A7635
A7656
A7690
A7690
A9000
A9140
A9130
A9100
A9300
A9000
A9350
A9400
A9590
A9600
A9630
A9600
A9600
A9300
A9300
A9300
A9130
A9130
A9190
A9190
A9000
A9140
A7000
A9000
A9790
A9500
A9600
A9390
A9167
A9000
A9515
A9000
A9414
A9500
A9517
A9600
A9950
A9000
A9400
A9490
A9400
A9500
A9500
A9760
A9550
A9000
A9570
A9600
A9630
A9650
A9000
A9350
A9351
A9360
A9361
A9361
A9100
A9760
A9360
A9650
A9630
A9000
A9340
A9300
A7000
A7400
A7490
A7495
A7500
A7600
A7616
A7630
A7675
A7645
A7640
A7640
A7655
A7655
A7690
A7695
A7600
A7000
A7590
A7950
A7900
A7453
A7450
A7460
A7490
A7400
A7450
A7550
A7550
A7630
A7900
A7450
A7100
A7100
A7940
A7700
A7100
A7510
A7500
A7600
A7630
A7630
A7650
A7690
A7930
A7300
A7700
A9716
A9700
A9763
A9714
A9711
A9700
A9745
A9793
A9793
A9793
A7600
A7600
A7600
A7655
A7690
A7600
A7600
A9000
A9390
A9375
A9350
A7100
A7500
A7530
A7100
A9000
A3000
A3900
A3000
A3600
A3760
A3700
A3400
A3500
A3500
A3539
A3550
A3577
A3577
A3597
A3579
A3579
A3500
A3590
A3570
A3590
A3539
A3590
A3500
A3570
A3550
A3590
A3570
A3570
A3590
A3539
A3570
A3539
A3579
A3500
A3559
A3514
A3590
A3510
A3517
A3590
A3597
A3590
A3595
A3597
A3597
A3595
A3500
A3590
A3500
A3550
A3500
A3570
A3590
A3000
A3600
A3900
A3300
A3300
A3000
A3000
A3000
A3770
A3770
A3100
A3000
A3000
A3600
A3500
A3590
A3530
A3600
A3500
A3000
A3640
A3640
A3695
A3900
A3900
A3900
A3000
A3790
A3730
A3000
A3700
A3573
A3900
A3950
A3455
A3460
A3400
A3000
A3500
A3590
A3300
A3700
A3900
A3000
A3000
A3100
A3100
A3370
A3000
A3770
A3700
A3754
A3400
A3416
A3470
A3400
A3460
A3490
A3400
A3455
A3455
A3456
A3455
A3490
A3491
A3491
A3495
A3491
A3493
A3500
A3500
A3500
A3500
A3570
A3565
A3500
A3300
A3000
A3170
A3600
A3643
A3643
A3643
A3655
A3655
A3690
A3695
A3900
A3950
A3950
A3900
A3900
A3357
A3400
A3400
A3500
