phonic_0pad_ml6
A00000
A90000
A94700
A90000
A15210
A81000
A74100
A74100
A70200
A74000
A70000
A74000
A52100
A59400
A51427
A58000
A57410
A51000
A31000
A35100
A31000
A31000
A21410
A22020
A24100
A20110
A22020
A41500
A41300
A41030
A40110
A40000
A42000
A42000
A42020
A40000
A40110
A40851
A41000
A00000
A02100
A00000
A02000
A63000
A05210
A02000
A90000
A90000
A91000
A91000
A91000
A91000
A91500
A91400
A91000
A94000
A96200
A95000
A95000
A92000
A92700
A92000
A92100
A94000
A94000
A94925
A94700
A94000
A94200
A94700
A94000
A90000
A90750
A90500
A90000
A90000
A90100
A91000
A91000
A91275
A91000
A91750
A91347
A91000
A91000
A92000
A90000
A90000
A90000
A98000
A90000
A90000
A90000
A91000
A93210
A92000
A94200
A90000
A90000
A90000
A90000
A91000
A91347
A91500
A91000
A91010
A90000
A90000
A92000
A92210
A92000
A91000
A90000
A92210
A92210
A92712
A92700
A91000
A90000
A92121
A92120
A92000
A91000
A91000
A91000
A91000
A94071
A94000
A94000
A90000
A95000
A90000
A90100
A91500
A91500
A91500
A91500
A91200
A91500
A91550
A91500
A91581
A91572
A91510
A91510
A91553
A91531
A91569
A91561
A91571
A91574
A91500
A91518
A91535
A91535
A91530
A91529
A91524
A91571
A91543
A91543
A91505
A91501
A91590
A91000
A91500
A91500
A91200
A91432
A91000
A91500
A91200
A91000
A91500
A91000
A91000
A91000
A91500
A91500
A91500
A91510
A91500
A91500
A91572
A91510
A91573
A91531
A91570
A91569
A91571
A91574
A91574
A91500
A91500
A91500
A91518
A91500
A91535
A91543
A91543
A91543
A91432
A91473
A91430
A91432
A91053
A90000
A90000
A94000
A99000
A97000
A91000
A91000
A91200
A91490
A90000
A95000
A97000
A97520
A91000
A96000
A95000
A95000
A95400
A95410
A95410
A95000
A95100
A95000
A95270
A95200
A95000
A95000
A95200
A95400
A95410
A95400
A95000
A95000
A95320
A95200
A95200
A95000
A95000
A95020
A95000
A92000
A92210
A92100
A92120
A92141
A92106
A92000
A92600
A92640
A92000
A94000
A94000
A94014
A94743
A94120
A94700
A94700
A94750
A94200
A94500
A94320
A94210
A94210
A94210
A94210
A94000
A94000
A94051
A94020
A94100
A94100
A90000
A90300
A91000
A90000
A91000
A91000
A98500
A98514
A95100
A92740
A96100
A91000
A91000
A91000
A94000
A97500
A95000
A95100
A95000
A95000
A92000
A92140
A92700
A92712
A95000
A96700
A91950
A91000
A91000
A90000
A98000
A97420
A97000
A95000
A95200
A95270
A95000
A95000
A95000
A95127
A95320
A95400
A95000
A95100
A95200
A95270
A95700
A95210
A93000
A92400
A92100
A92000
A90000
A97000
A91500
A95800
A95200
A95100
A92000
A92000
A92000
A91000
A94100
A94200
A91000
