phonic
A0000
A9000
A9470
A9000
A1521
A8100
A7410
A7410
A7020
A7400
A7000
A7400
A5210
A5940
A5142
A5800
A5741
A5100
A3100
A3510
A3100
A3100
A2141
A2202
A2410
A2011
A2202
A4150
A4130
A4103
A4011
A4000
A4200
A4200
A4202
A4000
A4011
A4085
A4100
A0000
A0210
A0000
A0200
A6300
A0521
A0200
A9000
A9000
A9100
A9100
A9100
A9100
A9150
A9140
A9100
A9400
A9620
A9500
A9500
A9200
A9270
A9200
A9210
A9400
A9400
A9492
A9470
A9400
A9420
A9470
A9400
A9000
A9075
A9050
A9000
A9000
A9010
A9100
A9100
A9127
A9100
A9175
A9134
A9100
A9100
A9200
A9000
A9000
A9000
A9800
A9000
A9000
A9000
A9100
A9321
A9200
A9420
A9000
A9000
A9000
A9000
A9100
A9134
A9150
A9100
A9101
A9000
A9000
A9200
A9221
A9200
A9100
A9000
A9221
A9221
A9271
A9270
A9100
A9000
A9212
A9212
A9200
A9100
A9100
A9100
A9100
A9407
A9400
A9400
A9000
A9500
A9000
A9010
A9150
A9150
A9150
A9150
A9120
A9150
A9155
A9150
A9158
A9157
A9151
A9151
A9155
A9153
A9156
A9156
A9157
A9157
A9150
A9151
A9153
A9153
A9153
A9152
A9152
A9157
A9154
A9154
A9150
A9150
A9159
A9100
A9150
A9150
A9120
A9143
A9100
A9150
A9120
A9100
A9150
A9100
A9100
A9100
A9150
A9150
A9150
A9151
A9150
A9150
A9157
A9151
A9157
A9153
A9157
A9156
A9157
A9157
A9157
A9150
A9150
A9150
A9151
A9150
A9153
A9154
A9154
A9154
A9143
A9147
A9143
A9143
A9105
A9000
A9000
A9400
A9900
A9700
A9100
A9100
A9120
A9149
A9000
A9500
A9700
A9752
A9100
A9600
A9500
A9500
A9540
A9541
A9541
A9500
A9510
A9500
A9527
A9520
A9500
A9500
A9520
A9540
A9541
A9540
A9500
A9500
A9532
A9520
A9520
A9500
A9500
A9502
A9500
A9200
A9221
A9210
A9212
A9214
A9210
A9200
A9260
A9264
A9200
A9400
A9400
A9401
A9474
A9412
A9470
A9470
A9475
A9420
A9450
A9432
A9421
A9421
A9421
A9421
A9400
A9400
A9405
A9402
A9410
A9410
A9000
A9030
A9100
A9000
A9100
A9100
A9850
A9851
A9510
A9274
A9610
A9100
A9100
A9100
A9400
A9750
A9500
A9510
A9500
A9500
A9200
A9214
A9270
A9271
A9500
A9670
A9195
A9100
A9100
A9000
A9800
A9742
A9700
A9500
A9520
A9527
A9500
A9500
A9500
A9512
A9532
A9540
A9500
A9510
A9520
A9527
A9570
A9521
A9300
A9240
A9210
A9200
A9000
A9700
A9150
A9580
A9520
A9510
A9200
A9200
A9200
A9100
A9410
A9420
A9100
A9100
A9610
A9580
A9502
A9214
A9010
A9000
A9100
A9525
A9400
A9430
A9432
A9430
A9430
A9430
A9432
A9421
A9430
A9430
A9462
A9430
A9437
A9432
A9430
A9438
A9438
A9438
A9438
A9438
A9437
A9431
A9430
A9430
A9430
A9430
A9430
A9432
A9421
A9400
A9461
A9470
A9450
A9427
A9400
A9440
A9406
A9400
A9480
A9400
A9400
A9430
A9430
A9470
A9450
A9470
A9450
A9450
A9463
A9400
A9430
A9431
A9420
A9407
A9400
A9400
A9402
A9400
A9400
A9053
A9052
A9640
A9640
A9640
A9640
A9640
A9020
A9012
A9012
A9100
A9100
A9100
A9000
A9500
A9200
A9974
