phonex_0pad_ml6
A00000
A10000
A12000
A10000
A34500
A13000
A23000
A23000
A25000
A26000
A20000
A26000
A45000
A16000
A36520
A10000
A23000
A30000
A53000
A53000
A53000
A53000
A56300
A52500
A56300
A52300
A52500
A34000
A35000
A32500
A62300
A00000
A65000
A65000
A65250
A60000
A23000
A21300
A30000
A00000
A25000
A20000
A25000
A25000
A24500
A25000
A10000
A10000
A13000
A13000
A13000
A13000
A13400
A13600
A13000
A16000
A12500
A14000
A14000
A15000
A15000
A15000
A15300
A16000
A16000
A15400
A12000
A16000
A15000
A12000
A16000
A10000
A12400
A12400
A10000
A12000
A12300
A13000
A13000
A13540
A13000
A13240
A13520
A13000
A13000
A15200
A10000
A10000
A10000
A10000
A12000
A10000
A10000
A13200
A15300
A15000
A15000
A10000
A12000
A10000
A12000
A13000
A13520
A13400
A13000
A13230
A12000
A10000
A15000
A15300
A15000
A13000
A10000
A15300
A15300
A15350
A15200
A13000
A10000
A15400
A15200
A15200
A13000
A13000
A13000
A13000
A16230
A16200
A16200
A10000
A14000
A10000
A12300
A13400
A13400
A13400
A13400
A13500
A13400
A13400
A13420
A13130
A13250
A13000
A13000
A13450
A13530
A13216
A13230
A13236
A13265
A13400
A13431
A13542
A13542
A13520
A13510
A13560
A13236
A13650
A13650
A13245
A13230
A13100
A13000
A13400
A13400
A13500
A13650
A13000
A13400
A13500
A13000
A13400
A13000
A13000
A13000
A13400
A13400
A13400
A13430
A13400
A13420
A13250
A13000
A13250
A13530
A13200
A13216
A13236
A13265
A13265
A13400
A13400
A13400
A13431
A13400
A13542
A13650
A13650
A13650
A13650
A13625
A13650
A13650
A13245
A10000
A10000
A16000
A10000
A12000
A13000
A13000
A13500
A13610
A10000
A14000
A12000
A12450
A13000
A12000
A14000
A14000
A14600
A14300
A14300
A14000
A14300
A14000
A14500
A14500
A14000
A14000
A14500
A14600
A14300
A14600
A14000
A14000
A15000
A15000
A14500
A14000
A14000
A12500
A14000
A15000
A15300
A15000
A15000
A15630
A15250
A15000
A15200
A15260
A15000
A16000
A16000
A16236
A12651
A13500
A16200
A12000
A12400
A16500
A14000
A15000
A15300
A15300
