refined_soundex_0pad_ml6
A00000
A10000
A19400
A10000
A67860
A26000
A49600
A49600
A43800
A39000
A33000
A39000
A78600
A71930
A76983
A72300
A74960
A76000
A86000
A87600
A86000
A86000
A86960
A88380
A89600
A83660
A88380
A96700
A96800
A96380
A93660
A93000
A98000
A98300
A98380
A93000
A93660
A93276
A96300
A30000
A38600
A30000
A38000
A38000
A37860
A38300
A10000
A10000
A16000
A16000
A16000
A16000
A16700
A16900
A16000
A19000
A14800
A17000
A17300
A18000
A18400
A18000
A18600
A19000
A19000
A19187
A19300
A19000
A19800
A19550
A19000
A13000
A13700
A13700
A13000
A13000
A13600
A16000
A16000
A16847
A16000
A16370
A16893
A16000
A16000
A18500
A10000
A10000
A10000
A12000
A15000
A10000
A10000
A16300
A18860
A18000
A19800
A13000
A13000
A13000
A13000
A16000
A16893
A16700
A16000
A16360
A15000
A10000
A18000
A18860
A18000
A16000
A10000
A18860
A18860
A18468
A18300
A16000
A10000
A18686
A18685
A18500
A16000
A16000
A16300
A16000
A19360
A19530
A19500
A13000
A17000
A10000
A13600
A16700
A16700
A16700
A16700
A16800
A16700
A16770
A16755
A16726
A16748
A16760
A16760
A16778
A16786
A16741
A16746
A16736
A16739
A16700
A16762
A16787
A16787
A16783
A16781
A16789
A16756
A16798
A16798
A16737
A16736
A16710
A16000
A16700
A16700
A16800
A16988
A16000
A16700
A16800
A16000
A16700
A16000
A16000
A16000
A16700
A16700
A16700
A16760
A16700
A16755
A16748
A16760
A16738
A16786
A16750
A16741
A16736
A16739
A16739
A16700
A16700
A16700
A16762
A16700
A16787
A16798
A16798
A16798
A16988
A16938
A16980
A16988
A16378
A10000
A10000
A19000
A11000
A13330
A16000
A16000
A16800
A16910
A10000
A17000
A14000
A14780
A16000
A14000
A17000
A17000
A17900
A17960
A17960
A17000
A17600
A17300
A17840
A17800
A17000
A17000
A17800
A17900
A17960
A17900
A17000
A17000
A17880
A17800
A17800
A17000
A17300
A17380
A17000
A18000
A18860
A18600
A18680
A18696
A18638
A18000
A18400
A18490
A18300
A19000
A19000
A19369
A19398
A19680
A19400
A19400
A19470
A19800
A19700
A19880
A19860
A19860
