soundex_census
A, 0, 0, 0
A, 1, 0, 0
A, 1, 6, 2
A, 1, 0, 0
A, 3, 4, 5
A, 1, 3, 0
A, 2, 6, 3
A, 2, 6, 3
A, 2, 2, 5
A, 2, 6, 0
A, 2, 2, 0
A, 2, 6, 0
A, 4, 5, 3
A, 4, 1, 6
A, 4, 3, 6
A, 4, 1, 2
A, 4, 2, 6
A, 4, 3, 0
A, 5, 3, 0
A, 5, 4, 3
A, 5, 3, 0
A, 5, 3, 0
A, 5, 3, 6
A, 5, 5, 2
A, 5, 6, 3
A, 5, 2, 3
A, 5, 5, 2
A, 6, 3, 4
A, 6, 3, 5
A, 6, 3, 2
A, 6, 2, 3
A, 6, 2, 0
A, 6, 5, 0
A, 6, 5, 2
A, 6, 5, 2
A, 6, 2, 0
A, 6, 2, 3
A, 6, 2, 1
A, 6, 3, 2
A, 2, 0, 0
A, 2, 5, 3
A, 2, 0, 0
A, 2, 5, 0
A, 2, 5, 0
A, 2, 4, 5
A, 2, 5, 2
A, 1, 0, 0
A, 1, 0, 0
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 4
A, 1, 3, 6
A, 1, 3, 0
A, 1, 6, 0
A, 1, 2, 5
A, 1, 4, 0
A, 1, 4, 2
A, 1, 5, 0
A, 1, 5, 2
A, 1, 5, 0
A, 1, 5, 3
A, 1, 6, 0
A, 1, 6, 0
A, 1, 6, 1
A, 1, 6, 2
A, 1, 6, 0
A, 1, 6, 5
A, 1, 6, 2
A, 1, 6, 0
A, 1, 2, 0
A, 1, 2, 4
A, 1, 2, 4
A, 1, 2, 0
A, 1, 2, 0
A, 1, 2, 3
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 5
A, 1, 3, 0
A, 1, 3, 2
A, 1, 3, 5
A, 1, 3, 0
A, 1, 3, 0
A, 1, 5, 2
A, 1, 0, 0
A, 1, 0, 0
A, 1, 0, 0
A, 1, 1, 0
A, 1, 2, 0
A, 1, 0, 0
A, 1, 0, 0
A, 1, 3, 2
A, 1, 5, 5
A, 1, 5, 0
A, 1, 6, 5
A, 1, 2, 0
A, 1, 2, 0
A, 1, 2, 0
A, 1, 2, 0
A, 1, 3, 0
A, 1, 3, 5
A, 1, 3, 4
A, 1, 3, 0
A, 1, 3, 2
A, 1, 2, 0
A, 1, 0, 0
A, 1, 5, 0
A, 1, 5, 5
A, 1, 5, 0
A, 1, 3, 0
A, 1, 0, 0
A, 1, 5, 5
A, 1, 5, 5
A, 1, 5, 2
A, 1, 5, 2
A, 1, 3, 0
A, 1, 0, 0
A, 1, 5, 3
A, 1, 5, 3
A, 1, 5, 2
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 2
A, 1, 3, 0
A, 1, 6, 2
A, 1, 6, 2
A, 1, 6, 2
A, 1, 2, 0
A, 1, 4, 0
A, 1, 0, 0
A, 1, 2, 3
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 5
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 0
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 5
A, 1, 3, 6
A, 1, 3, 0
A, 1, 3, 4
A, 1, 3, 5
A, 1, 3, 0
A, 1, 3, 4
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 4
A, 1, 3, 6
A, 1, 3, 6
A, 1, 3, 6
A, 1, 3, 6
A, 1, 3, 2
A, 1, 0, 0
A, 1, 0, 0
A, 1, 6, 0
A, 1, 1, 0
A, 1, 2, 2
A, 1, 3, 0
A, 1, 3, 0
A, 1, 3, 5
A, 1, 3, 6
A, 1, 0, 0
A, 1, 4, 0
A, 1, 2, 0
A, 1, 2, 4
A, 1, 3, 0
A, 1, 2, 0
A, 1, 4, 0
A, 1, 4, 0
A, 1, 4, 6
A, 1, 4, 6
A, 1, 4, 6
A, 1, 4, 0
A, 1, 4, 3
A, 1, 4, 2
A, 1, 4, 5
A, 1, 4, 5
A, 1, 4, 0
A, 1, 4, 0
A, 1, 4, 5
A, 1, 4, 6
A, 1, 4, 6
A, 1, 4, 6
