['660000']
['000000']
['070000']
['079500']
['070000']
['038630']
['073000']
['059300']
['059300']
['054600']
['059000']
['054000']
['059000']
['086300']
['087400', '087940']
['083965']
['087400']
['085930']
['083000']
['063000']
['068300']
['063000']
['063000']
['063930']
['066460']
['069300']
['064330']
['066460']
['093800']
['093600']
['094600']
['094330']
['095400']
['096000']
['096400']
['096460']
['094000']
['043300', '094330']
['047830', '094783']
['094000']
['040000']
['046300']
['040000']
['046000']
['046000']
['048630']
['046400']
['070000']
['070000']
['073000']
['073000']
['073000']
['073000']
['073800']
['073900']
['073000']
['079000']
['071600']
['078000']
['078400']
['076000']
['076500']
['076000']
['076300']
['079000']
['079000']
['079768']
['079400', '079500']
['079000']
['079600']
['079540']
['079000']
['074000']
['074800']
['074800']
['074000']
['074000']
['074300']
['073000']
['073000']
['073658']
['073000']
['073480', '073580']
['073694', '073695']
['073000']
['073000']
['076400']
['077000']
['070000']
['071000']
['071700']
['074000']
['070000']
['070000']
['073400']
['076630']
['076000']
['079600']
['074000']
['074000']
['074000']
['074000']
['073000']
['073694', '073695']
['073800']
['073000']
['073430']
['074000']
['070000']
['076000']
['076630']
['076000']
['073000']
['070000']
['076630']
['076630']
['076536']
['076500']
['073000']
['070000']
['076363']
['076364']
['076400']
['073000']
['073000']
['074000']
['073000']
['079430']
['079440']
['079400']
['074000']
['078000']
['070000']
['074300', '075300']
['073800']
['073800']
['073800']
['073800']
['073600']
['073800']
['073880']
['073844']
['073873']
['073856']
['073853']
['073853']
['073858']
['073856']
['073847', '073879']
['073847', '073873']
['073853']
['073859']
['073800']
['073837']
['073868']
['073868']
['073864']
['073867']
['073869']
['073853']
['073895']
['073896']
['073848']
['073841']
['073875']
['073000']
['073800']
['073800']
['073600']
['073966']
['073000']
['073850']
['073600']
['073000']
['073800']
['073000']
['073700']
['073000']
['073800']
['073800']
['073800']
['073853']
['073850']
['073844']
['073856']
['073853']
['073855']
['073856']
['073855']
['073847', '073879']
['073853']
['073859']
['073859']
['073800']
['073800']
['073850']
['073837']
['073800']
['073868']
['073895']
['073895']
['073896']
['073966']
['073956']
['073956']
['073966']
['073486']
['070000']
['070000']
['079000']
['077000']
['074440', '075440']
['073000']
['073000']
['073600']
['073970']
['070000']
['078000']
['075000']
